Timestamp,What is your job description at MIT?,What is your department/institute?,What is your current funding status?,Are you currently a parent?,Are you the birthing parent?,How many children do you have?,Has your position at MIT and/or MIT policies on childcare and parental leave influenced your decision on whether or not you will have children while a postdoc at this university?,Is your child enrolled at an MIT daycare?,[If applicable] How long were you/have you been on the waitlist for an MIT daycare center?,Would a spot at an MIT childcare center be your top choice? (above and beyond non-MIT childcare centers),"If you took parental leave: how long?
If you plan on taking parental leave: how long?",What percentage of your parental leave was paid?,"As a family, do you feel financially secure to support all of your needs?","Does your family (parents, siblings etc.) offer you any support, either financially or by helping you out at home?","On a scale of 1-5, how supportive has your PI been during your pregnancy [if applicable] and leave?","On a scale of 1-5, how supportive has MIT been during your pregnancy [if applicable] and leave?",What policies could MIT adopt that would make your life as a parent or parent-to-be easier?,Is there anything else you would like MIT leadership to know about being a postdoc parent or parent-to-be at MIT?
5/12/2023 12:48:29,Postdoctoral Associate,Chemistry,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,No,Yes,7-9 months,Yes,Parental leave for 4 weeks,100,No,No,4,4,"MIT initiated Portable Child Care Subsidy program which is only eligible to apply during open enrollment. I wish I was eligible to apply for this after the birth of my child. With the added cost of daycare, this would have been really helpful financially.",The financial burden of being a postdoc parent is real. Please consider more policies for postdoc parents to help ease the financial burden we face.
5/12/2023 12:53:20,Postdoctoral Fellow,RLE ,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Not applicable,0,no,,,,,,,,,,,
5/12/2023 12:57:49,Postdoctoral Associate,NSE,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,Yes,3,Yes,No,,Yes,2 weeks,100,No,No,4,3,work from home during pandemic,health insurance together with housing rent makes the life harder to live in Boston area.
5/12/2023 13:45:19,Postdoctoral Associate,Biology,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,Yes,No,,Yes,2 months,100,No,No,5,3,Longer maternity leave and ease of application for maternity leave will be beneficial. Easier car parking facility for those opting to drive. ,It is hard to slow down when you are the birthing parent. We miss out on a lot of events and possibly opportunities. It would be good to get extension on deadlines for grants and such
5/12/2023 14:37:28,Postdoctoral Fellow,Chemistry,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,No,1,No,No,,No,1 month,0,No,Yes - they offer financial support,5,5,"In the absence of any leave provided by the fellowship agency, MIT step in and provide paid leave",
5/12/2023 14:50:28,Postdoctoral Associate,,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,,Yes,No,7-9 months,No,10 weeks,100,Yes,,5,4,"- Full pay for duration of leave rather than a mix of full and state rate.
- Increased financial support for childcare.
- TCC wait list times are so long that it undermines the practicality of the option.","Cost of living in the Boston area is extremely high and childcare costs are no exception. For example, median rent in Cambridge + Tech Child Care is more or less equivalent to pre-tax postdoc pay. This poses a real challenge for families and is a threat to MIT's competitiveness."
5/12/2023 15:13:04,Postdoctoral Associate,,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,No,Yes,1-3 months,Yes,5 months,50,No,No,4,4,"Have more childcare centers so that people easily find a spot, or subsidize other Childcare outside of TCC for those who cannot get a spot",
5/12/2023 15:14:19,Postdoctoral Fellow,BCS,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",No,No,0,I have never been made aware of policies until this survey. Parenthood is not considered during onboarding. But this matches the fact that it is not possible to finance a child with a postdoc salary anyway. ,,,,,,,,,,,
5/12/2023 15:49:19,Postdoctoral Associate,BE,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,2,yes,Yes,10-12 months,Yes,20 weeks,80,No,No,5,4,,the extremely high cost of living and childcare in the area
5/12/2023 15:52:16,Research Scientist,BE,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,2,yes,No,4-6 months,Yes,No,0,No,No,3,3,increase the financial support ,Please! MIT people is smart and well educated enough to know that is practically impossible live in the Boston area with children and a postdoc salary.  
5/12/2023 16:01:20,Postdoctoral Associate,Biology,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,No,Yes,7-9 months,Yes,,100,No,No,4,3,MIT could increase the childcare subsidies. ,"I am unsure whether what I'm describing is an excessive work ethic or something else. Since my child was born, one of my PI has been constantly reminding me that we don't have time and should make progress with the work. As a result, I have been on parental leave for only 2 weeks to avoid disruption in the work. How should we handle such situation? "
5/12/2023 16:06:03,Postdoctoral Associate,RLE,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,No,No,,,1 month,100,Yes,No,4,3,,
5/12/2023 16:37:01,Postdoctoral Associate,Chemical Engineering,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,2,No,No,,,,,No,Yes - they offer financial support,,,Financial support for daycare or school,
5/12/2023 17:29:26,Postdoctoral Associate,IMES,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,Yes,Currently on waitlist,4-6 months,Yes,I took 10 weeks = 8 wks maternity leave and 2 wks parental leave,90,Yes,Yes - they help out at home,3,3,"1, Better daycare support. Current waiting list is sooooo long. 2, easier and more affordable parking at MIT. 3, better facility for nursing mom, lactation room, and diaper changing table in restrooms on campus. Please, diaper changing tables in restrooms!",
5/13/2023 19:04:18,Postdoctoral Associate,Mechanical Engineering,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",I'm expecting / My partner is expecting a baby,No,0,Yes,No,,Yes,24weeks,100,No,Yes - they offer financial support,4,3,extend of maternity leave to 24 weeks if possible,Increase maternity leave period
5/13/2023 21:58:39,Postdoctoral Associate,chemistry,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,partially,Yes,7-9 months,Yes,Not at MIT,,Yes,No,,,,
5/14/2023 0:22:30,Research Scientist,McGovern Inst of Brain Research,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Not applicable,,"For sure. The payments we received is barely enough for us to making a living so having children is not even an option. So I don't have children.  

But I have elder parents to take care of. There is enough of sacrifice that we are not able to afford having children that makes me feel it is very unfair that there is no policy for us to take leave to take care of elderly who raised us.",,,,,,No,No,,,,I dont have children because I cannot afford to have.My current biggest concern is the care I need to do for my elder parents. There is enough of sacrifice that we have to make for not being able to afford having children. Now I feel even worse and unfair that there is no policy for us to take leave to take care of elderly who raised and cared for me.
5/14/2023 9:53:58,Postdoctoral Fellow,IMES,Combination of Both,No,Not applicable,0,"I transitioned from a PDA to a PDF (associate to fellow) and due to the confusion of that process, I didn't have a clear idea of what my benefits were if I were to have a child. So we decided to hold off for this reason and a few others. ",,,,,,,,,,,
5/14/2023 13:46:19,Postdoctoral Associate,NSE,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,2,no,No,,No,5 weeks,100,No,No,4,4,more financial support,
5/14/2023 16:12:32,Postdoctoral Associate,Chemistry,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,No,,Yes. I decided that we can not afford to become parents or need to sacrifice our careers.,No,,Yes,,0,No,No,3,3,,
5/14/2023 22:11:36,Research Scientist,IMES,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,2,no,No,longer than 12 months,No,12,100,Yes,Yes - they offer financial support,5,5,"Portable childcare subsidy.  20 weeks, 100% paid leave.","Even with subsidized price, MIT daycare is too expensive"
5/15/2023 9:00:52,Postdoctoral Fellow,Media Lab,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,yes,No,,Yes,,,No,No,,,More daycare centers at MIT and more daycare fund,
5/15/2023 11:17:23,Postdoctoral Fellow,CSAIL,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,Yes,1,No,No,,,3 months,100,Yes,No,5,3,"It was very difficult to figure out if I qualified for leave, and if so, how to schedule my leave. It took many months of trying to email HR, getting some misleading responses, and following up. Thankfully, a faculty member running the program that funds me helped and I was finally able to get a response, right after I gave birth. Making it easier to get this scheduled would have been very helpful.",I would generally advocate for more than 3 months of leave for the birthing parent.
5/15/2023 12:20:56,Research Scientist,Architecture,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,Not applicable,5+,Yes,No,longer than 12 months,Yes,NA,0,No,No,5,2,"It would be helpful if MIT could provide more support for housing, especially for families with children. Also, technology oriented camps or presentations for MIT families/kids would be very helpful. ",It would be great if MIT could provide more funds as part of the Portable Child Care Subsidy or similar programs. Thank you for introducing it this year. 
5/15/2023 16:24:46,Postdoctoral Associate,EECS / RLE,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,3,"No, as two of my children were born before, and I got pregnant with my third before knowing about the policies",Currently on waitlist,4-6 months,Yes,Three months,0,No,Yes - they help out both financially and at home,5,4,,
5/15/2023 20:00:01,Postdoctoral Fellow,Koch Institute,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,Yes,1,"No because I am old enough that if I want to have multiple kids I need to get started now, and was excited to have a baby.  So we basically made it work.",Currently on waitlist,4-6 months,Yes,3 months,100,No,Yes - they help out both financially and at home,3,1,Clear instructions/assistance with leave set-up for postdoctoral fellows (non benefits eligible employees). more childcare spots available.,
5/16/2023 11:26:47,Postdoctoral Associate,chemistry,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Not applicable,0,,,,,,,,,,,,
5/18/2023 9:33:37,Postdoctoral Fellow,BCS,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,Yes,1,No,No,,No,12 weeks,80,Yes,Yes - they help out at home,5,4,,
5/21/2023 10:49:46,Postdoctoral Associate,MTI Kavli Institute,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,No,Yes,1-3 months,Yes,3 months,100,Yes,No,5,3,Supplement state leave to provide a regular salary during the leave,Childcare for employers is expensive and conditions to access benefits difficult (eg working partner)
5/23/2023 10:14:10,Research Scientist,Haystack Observatory,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,1,"Yes. I became a new dad in the 2nd year of my career as a research scientist. I really appreciated that I had a chance to take a paid parental leave for a month. Indeed, the policy on childcare / parental leave was a point seriously considered to decide whether I would keep staying at MIT or go elsewhere when the current job was offered. In fact, without such leave, we were not able to survive because my spouse took a full two months for the recovery from the delivery. Given that typical child care here can accept a baby only after 7-8 weeks from the birth, I sincerely hope that the paid leave will be extended to 2 months rather than just a month; that should be a critical part for MIT to meet the global (not only the US) standard for parental leave policies.",No,,No,I took 4 weeks.,100,Yes,No,5,4,"I would point out two things.

- For a young PI (or scientist) like me, travels for conferences, etc, are inevitable for career success. The current benefits only support if a scholar takes her/his child(ren) with travel, and does not consider if children stay at home with her/his spouse during travel. Because of this, we often have to pay extra for childcare pick up and baby shitting until my spouse comes back home. This has caused significant expenses, and this would likely happen to many scholars who often don't have families nearby. The travel child support should be extended for cases where the rest of the family takes care of their children during the travel. 

- Extension of a period for paid parental leave would be really critical as there is an international demand to secure a longer paid leave and we in the US are behind that trend. At least, the institution should give enough support for the typical period, say, several weeks, for parents to send their newborn babies to childcare. ",
5/24/2023 14:16:46,Postdoctoral Associate,LNS,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,No,2,no,Yes,10-12 months,Yes,2 months,80,Yes,No,4,3,"expand childcare availability further, increase subsidies","Snowdays should not be called gratuitously under the assumption that post-Covid, everybody easily switches to remote -- because MIT daycares close as well, parents cannot."
6/5/2023 13:13:30,Postdoctoral Fellow,Picower institute ,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,No,Currently on waitlist,7-9 months,Yes,12 weeks or more if allowed ,100,No,Yes - they help out at home,3,3,A consult to help navigate my rights and how much time I get off as well as child care ,More available and subsidized child care 
